student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,math_score,science_score,english_score,overall_score
27,16,other,public,post graduate,5.9,74.9,yes,15-30 min,no,94.6,92.8,86.9,82.5
28,18,other,private,post graduate,5.2,59.8,yes,<15 min,yes,42.9,89.9,63.4,75.4
29,17,female,private,post graduate,3.0,71.0,yes,15-30 min,no,40.5,44.5,68.1,45.1
30,16,other,public,diploma,7.0,74.9,yes,>60 min,yes,76.1,73.5,71.7,82.6
31,16,other,private,phd,7.3,85.7,yes,30-60 min,yes,79.6,86.0,95.4,90.4
32,15,female,private,high school,5.9,72.5,yes,>60 min,yes,79.3,82.5,77.4,77.1
33,14,male,private,no formal,5.8,81.7,yes,30-60 min,yes,94.5,72.1,84.8,78.8
34,17,other,public,graduate,4.2,55.1,no,15-30 min,no,60.5,57.4,72.9,62.2
35,19,female,public,high school,1.1,88.2,yes,30-60 min,no,39.8,39.6,36.5,46.9
36,14,other,private,diploma,8.0,50.2,yes,30-60 min,no,93.1,99.8,100.0,90.4
37,19,other,public,diploma,0.6,82.1,yes,>60 min,no,45.9,43.5,35.0,42.0
38,18,female,public,high school,4.2,91.3,yes,15-30 min,no,82.4,73.5,61.7,79.0
39,15,female,private,phd,3.3,88.3,yes,15-30 min,yes,53.5,67.4,61.7,66.5
40,17,male,public,diploma,6.3,57.4,yes,<15 min,yes,78.1,70.0,63.8,65.4
41,14,other,private,post graduate,6.0,92.2,yes,15-30 min,yes,72.8,72.5,100.0,88.7
42,18,male,private,no formal,5.2,54.0,yes,30-60 min,yes,42.8,58.2,60.1,53.9
43,18,female,public,phd,1.1,53.3,yes,15-30 min,no,31.4,36.4,29.0,23.7
44,16,female,private,phd,2.3,91.1,yes,30-60 min,no,76.4,56.2,56.4,63.6
45,14,male,private,no formal,1.2,59.1,yes,<15 min,no,37.5,35.0,54.0,42.3
46,19,female,private,graduate,7.8,72.4,yes,30-60 min,no,77.3,94.5,88.0,83.5
47,16,other,public,graduate,1.5,96.8,yes,>60 min,no,42.4,29.9,53.9,48.7
48,19,male,private,high school,7.8,60.4,yes,>60 min,yes,85.1,100.0,100.0,96.3
49,18,male,private,post graduate,1.3,89.0,yes,15-30 min,yes,31.5,26.9,32.6,37.5
50,18,male,private,post graduate,7.0,79.2,no,30-60 min,no,86.6,91.1,100.0,95.9
51,18,male,public,phd,4.8,70.3,yes,>60 min,yes,66.9,66.7,82.8,76.2
52,15,male,private,graduate,6.7,73.0,yes,15-30 min,no,87.1,78.6,99.8,90.4
53,16,female,public,post graduate,5.3,70.5,yes,15-30 min,yes,77.9,80.5,79.9,77.0
54,16,other,public,post graduate,6.3,91.4,no,>60 min,yes,95.8,93.3,85.2,88.4
55,16,other,private,post graduate,6.0,90.7,yes,>60 min,yes,91.9,85.6,100.0,92.5
56,14,other,public,graduate,2.5,68.7,yes,>60 min,no,39.3,25.2,39.2,39.5
57,17,other,public,post graduate,7.5,84.9,no,>60 min,yes,83.4,81.5,79.5,86.2
58,14,female,private,no formal,5.3,76.6,yes,15-30 min,no,67.8,81.5,67.3,76.9
59,18,other,public,graduate,2.0,87.4,yes,15-30 min,no,39.8,40.9,59.9,41.1
60,18,male,private,high school,2.8,52.5,yes,>60 min,yes,51.3,48.7,53.4,46.2
61,19,other,public,diploma,4.5,66.8,yes,15-30 min,no,69.7,61.7,53.0,65.1
62,18,male,private,post graduate,7.1,66.8,yes,>60 min,no,78.9,63.1,83.9,85.8
63,16,other,private,no formal,6.5,79.8,yes,30-60 min,yes,76.1,61.2,76.7,77.4
64,19,male,public,post graduate,2.8,60.4,yes,30-60 min,yes,62.7,65.5,47.6,54.9
65,16,male,private,high school,5.7,76.6,yes,30-60 min,no,84.1,83.3,88.2,80.9
66,15,female,public,post graduate,0.5,99.0,yes,>60 min,no,32.1,28.5,38.0,39.2
67,19,other,private,post graduate,3.0,52.2,yes,<15 min,yes,33.8,45.9,47.3,46.9
68,16,male,public,no formal,6.8,75.2,no,<15 min,yes,57.3,100.0,71.8,82.4
69,14,male,private,high school,1.6,56.9,yes,15-30 min,yes,54.0,34.8,35.3,40.8
70,16,female,private,post graduate,3.2,79.1,yes,15-30 min,no,80.1,57.2,47.2,57.1
71,18,other,public,diploma,0.5,62.0,no,15-30 min,no,32.0,30.9,51.4,24.6
72,15,other,public,diploma,0.7,95.1,yes,<15 min,yes,41.4,43.6,23.8,50.0
73,16,female,private,no formal,1.6,65.9,yes,30-60 min,yes,33.9,62.8,30.7,37.1
74,14,female,private,post graduate,1.3,97.9,yes,<15 min,yes,53.1,58.0,59.5,59.5
75,18,female,private,no formal,4.2,50.2,no,30-60 min,yes,48.3,63.2,46.5,51.5
76,16,other,public,high school,7.3,91.6,yes,>60 min,yes,99.6,100.0,99.1,96.4
77,15,male,private,diploma,1.1,63.1,no,>60 min,yes,36.6,40.0,23.7,32.0
78,15,male,public,post graduate,7.0,60.1,yes,<15 min,yes,71.2,87.5,84.0,80.7
79,17,male,private,diploma,5.5,94.2,yes,<15 min,yes,94.7,75.8,100.0,91.5
80,18,male,private,phd,1.8,65.2,no,15-30 min,no,5.9,19.0,12.8,32.7
81,19,female,private,graduate,2.7,79.2,yes,30-60 min,yes,74.0,75.2,54.3,59.6
82,16,other,public,high school,2.0,86.8,yes,15-30 min,no,44.8,48.9,54.0,58.5
83,14,female,public,high school,6.4,71.0,yes,<15 min,no,83.6,100.0,98.5,83.0
84,18,female,private,post graduate,5.9,55.1,no,<15 min,no,74.1,55.2,72.0,69.1
85,17,male,public,diploma,2.8,96.1,yes,<15 min,yes,63.8,57.9,53.0,61.7
86,18,female,public,graduate,0.9,82.4,yes,>60 min,no,49.0,45.7,45.0,43.9
87,14,male,public,diploma,1.8,94.6,yes,>60 min,yes,74.3,57.7,46.7,61.3
88,15,other,private,high school,5.2,88.4,no,>60 min,yes,67.7,81.7,89.5,73.9
89,18,female,public,graduate,1.2,88.7,no,30-60 min,yes,55.6,73.1,57.4,53.4
90,18,female,private,high school,4.5,79.5,yes,<15 min,no,57.0,56.1,62.6,63.4
91,16,other,public,phd,5.1,50.3,yes,30-60 min,no,71.3,50.2,63.1,59.9
92,18,male,private,post graduate,5.7,94.1,yes,30-60 min,yes,80.5,86.2,79.4,82.0
93,19,female,public,post graduate,1.4,91.5,yes,30-60 min,yes,40.0,46.1,31.2,41.3
94,16,female,public,high school,3.9,86.4,no,30-60 min,no,57.3,49.7,54.7,59.5
95,19,male,private,no formal,4.0,93.9,yes,<15 min,no,80.2,93.9,87.6,76.8
96,15,male,public,no formal,6.8,59.2,yes,30-60 min,no,86.9,79.9,88.2,87.9
97,15,male,public,phd,4.0,64.1,yes,>60 min,yes,65.6,73.9,70.1,66.6
98,18,male,private,phd,3.6,57.9,yes,15-30 min,no,42.3,46.6,57.5,46.2
99,17,other,private,post graduate,1.4,82.3,yes,15-30 min,no,37.2,50.4,48.3,39.9
100,14,male,private,graduate,5.7,71.9,no,<15 min,no,67.8,57.0,61.6,66.9
101,18,male,public,high school,5.1,55.1,yes,30-60 min,yes,76.8,73.0,74.8,66.8
102,15,other,private,post graduate,5.9,78.8,yes,<15 min,yes,72.3,48.8,70.5,68.8
103,18,female,public,graduate,5.4,66.9,yes,30-60 min,yes,68.7,72.3,64.8,73.5
104,14,other,private,graduate,7.1,74.5,yes,30-60 min,no,77.9,75.6,89.0,81.9
105,18,other,private,no formal,7.1,63.1,yes,15-30 min,yes,100.0,90.8,96.0,86.4
106,18,male,private,graduate,2.8,58.1,yes,15-30 min,no,24.0,58.0,23.3,39.3
107,18,female,private,post graduate,1.9,72.5,yes,<15 min,yes,39.3,44.8,42.7,52.9
108,17,male,private,post graduate,7.4,61.3,no,30-60 min,yes,68.3,78.7,66.9,75.9
109,16,female,public,no formal,5.8,70.3,yes,<15 min,no,71.6,60.4,85.2,65.2
110,18,other,private,no formal,7.8,69.1,no,30-60 min,no,73.4,96.5,74.7,82.4
111,15,other,private,phd,4.2,97.0,yes,30-60 min,yes,58.0,71.2,49.0,67.3
112,18,other,private,high school,7.7,59.3,yes,30-60 min,yes,98.5,85.1,76.7,88.9
113,17,male,public,diploma,1.4,64.3,yes,>60 min,no,21.1,43.7,43.6,35.7
114,16,male,private,graduate,4.9,89.6,yes,30-60 min,yes,81.1,63.6,67.7,74.2
115,17,female,public,diploma,4.2,64.8,yes,15-30 min,yes,73.7,64.0,52.8,61.3
116,17,male,private,phd,0.5,74.0,yes,<15 min,no,44.4,35.1,20.1,37.1
117,14,female,private,phd,1.9,88.1,yes,15-30 min,no,57.0,61.8,63.6,54.8
118,14,other,private,diploma,1.7,50.2,no,30-60 min,yes,39.2,12.8,40.9,32.1
119,15,male,private,high school,1.0,97.8,yes,15-30 min,yes,65.9,32.0,41.9,39.6
120,14,other,public,phd,7.6,73.1,yes,15-30 min,no,82.3,79.1,72.6,81.9
121,16,other,public,post graduate,7.7,88.0,yes,30-60 min,no,92.4,76.4,86.1,92.0
122,18,other,public,post graduate,7.2,96.0,yes,<15 min,no,100.0,71.6,83.4,89.4
123,17,male,private,diploma,7.9,93.8,yes,>60 min,yes,92.7,100.0,95.8,98.4
124,16,male,private,diploma,6.7,61.0,yes,>60 min,no,85.3,86.2,80.0,87.8
125,19,male,private,high school,7.5,77.8,no,<15 min,no,100.0,100.0,76.9,87.1
126,17,male,private,diploma,2.0,70.5,no,>60 min,no,62.7,52.9,52.8,53.1
127,14,male,private,graduate,2.4,76.6,no,30-60 min,no,40.3,64.6,67.1,52.7
128,18,female,public,no formal,7.0,89.0,yes,>60 min,no,83.8,71.4,71.2,82.6
129,17,male,private,graduate,4.1,67.7,yes,>60 min,no,72.3,71.7,66.9,65.0
130,17,male,private,graduate,5.9,73.9,yes,15-30 min,yes,80.4,66.8,92.5,81.1
131,17,other,public,phd,4.7,80.4,yes,>60 min,yes,72.7,78.1,75.3,73.8
132,17,other,private,no formal,2.8,63.5,yes,>60 min,no,27.5,63.3,41.9,40.6
133,14,other,private,high school,2.6,80.3,yes,30-60 min,yes,49.8,39.9,35.2,43.3
134,17,male,private,diploma,6.1,57.4,yes,15-30 min,no,99.2,81.5,86.3,78.3
135,18,female,private,phd,4.5,81.1,yes,<15 min,no,77.4,70.7,84.0,73.4
136,15,female,private,high school,3.2,57.2,yes,15-30 min,yes,59.8,53.9,63.5,50.1
137,17,male,public,phd,5.1,88.8,no,15-30 min,yes,72.8,80.9,87.6,81.6
138,14,other,public,phd,3.6,59.7,no,15-30 min,no,43.6,78.1,50.4,54.2
139,16,female,private,no formal,4.1,82.3,yes,>60 min,no,59.7,71.3,67.0,67.6
140,16,other,public,diploma,5.6,79.1,yes,30-60 min,yes,88.7,76.9,76.4,85.7
141,19,male,private,high school,3.9,71.3,yes,15-30 min,no,53.8,46.4,54.2,52.6
142,15,female,public,diploma,7.6,82.3,yes,<15 min,yes,73.5,100.0,92.8,89.7
143,15,male,private,phd,4.1,92.3,yes,30-60 min,yes,58.5,59.0,66.5,62.0
144,16,other,private,diploma,7.7,56.0,yes,<15 min,no,79.1,91.3,92.0,78.7
145,19,female,private,graduate,6.9,83.8,no,30-60 min,no,99.1,100.0,96.2,95.6
146,19,male,public,no formal,7.2,70.5,yes,15-30 min,yes,90.9,86.7,82.9,90.2
147,14,male,private,graduate,6.2,83.7,no,30-60 min,yes,93.3,78.5,82.8,84.5
148,15,female,private,diploma,5.0,93.8,yes,15-30 min,yes,58.1,77.1,74.9,71.7
149,18,male,public,phd,4.5,82.6,yes,<15 min,yes,87.0,58.0,76.3,68.7
150,14,male,private,post graduate,4.6,58.0,yes,15-30 min,no,41.0,73.1,57.3,61.2
151,19,other,public,high school,2.0,70.8,yes,30-60 min,no,47.8,30.8,32.8,36.9
152,15,other,private,graduate,2.1,77.5,yes,30-60 min,no,52.8,37.9,45.6,39.3
153,19,female,public,diploma,0.8,56.3,yes,>60 min,no,12.8,26.2,14.7,22.6
154,15,other,private,diploma,6.1,82.2,yes,<15 min,yes,100.0,91.6,92.1,87.5
155,16,female,private,diploma,1.4,85.7,yes,30-60 min,yes,45.4,37.1,55.7,46.8
156,17,male,private,post graduate,4.9,88.1,yes,30-60 min,no,75.8,57.7,77.6,77.5
157,14,other,private,high school,1.5,56.0,yes,<15 min,no,35.6,20.4,33.1,26.5
158,17,male,private,no formal,1.0,85.3,no,15-30 min,no,39.8,41.5,27.9,38.4
159,17,other,private,high school,4.5,68.3,yes,<15 min,no,53.4,67.8,55.6,58.1
160,18,female,public,post graduate,7.0,60.6,yes,<15 min,yes,82.7,71.7,77.0,86.0
161,19,male,private,high school,3.2,76.2,no,15-30 min,no,51.0,48.2,54.2,48.9
162,17,male,public,no formal,7.4,78.6,yes,<15 min,no,80.1,69.3,61.2,86.0
163,16,other,private,diploma,0.6,72.8,yes,30-60 min,yes,43.3,13.9,45.8,37.8
164,16,other,private,phd,4.0,92.0,yes,<15 min,yes,67.0,93.9,65.3,71.9
165,16,female,private,phd,1.6,57.8,no,<15 min,yes,39.0,38.4,35.6,43.4
166,18,male,public,phd,2.9,70.4,yes,>60 min,no,54.1,59.9,70.7,58.3
167,15,other,public,post graduate,0.7,63.4,yes,30-60 min,no,18.0,45.5,36.2,37.8
168,15,other,private,post graduate,0.8,52.4,yes,15-30 min,no,29.6,50.3,27.8,32.4
169,16,female,private,post graduate,5.8,67.0,yes,>60 min,yes,70.4,64.0,69.2,66.2
170,14,female,public,no formal,5.4,85.9,yes,>60 min,no,95.2,71.2,80.1,78.4
171,14,other,public,diploma,2.1,76.2,no,<15 min,no,54.8,33.5,38.2,39.6
172,14,female,private,graduate,7.3,70.9,yes,15-30 min,yes,86.9,84.2,97.3,86.7
173,18,male,private,diploma,5.7,73.7,yes,30-60 min,no,80.7,80.6,58.2,80.8
174,18,male,public,post graduate,3.0,65.6,yes,<15 min,yes,43.7,50.5,39.8,50.5
175,18,female,public,phd,3.6,56.1,yes,30-60 min,no,55.8,42.0,37.8,48.2
176,16,other,private,graduate,2.7,79.5,yes,<15 min,no,50.8,52.3,79.3,63.4
177,18,other,public,no formal,6.7,90.8,yes,>60 min,no,77.3,100.0,99.8,86.1
178,14,female,public,diploma,4.2,89.5,yes,15-30 min,yes,48.0,62.7,64.5,63.1
179,19,male,public,high school,1.5,61.7,yes,30-60 min,no,35.8,28.0,36.3,36.9
180,17,female,private,diploma,2.0,71.7,yes,>60 min,yes,45.7,24.3,40.3,43.7
181,19,male,public,high school,2.7,77.6,yes,30-60 min,yes,38.0,51.5,59.8,49.5
182,14,female,public,no formal,3.5,90.1,yes,30-60 min,yes,49.9,56.9,47.5,59.5
183,16,female,public,high school,4.9,59.8,yes,>60 min,no,78.7,64.1,81.9,73.0
184,18,other,private,diploma,7.7,56.6,yes,30-60 min,no,79.1,89.3,98.0,81.5
185,16,other,private,no formal,2.5,96.6,yes,15-30 min,no,50.3,47.4,61.8,59.7
186,16,other,public,no formal,3.0,57.3,no,15-30 min,yes,32.5,39.6,41.6,38.6
187,14,male,private,high school,0.7,99.5,yes,30-60 min,no,51.7,49.6,46.3,44.7
188,16,other,private,graduate,3.3,79.9,yes,15-30 min,yes,64.3,47.5,54.3,58.4
189,15,male,private,graduate,5.6,74.9,yes,<15 min,no,70.4,72.9,55.4,71.8
190,15,female,private,diploma,7.7,59.4,yes,30-60 min,no,65.5,73.4,77.6,76.1
191,18,other,public,graduate,6.1,93.0,yes,30-60 min,no,73.9,92.3,80.2,86.6
192,17,other,private,high school,1.4,58.6,yes,30-60 min,no,7.6,32.8,16.7,25.5
193,17,female,private,post graduate,7.2,70.1,yes,15-30 min,yes,71.1,55.2,78.0,80.1
194,16,male,private,no formal,6.8,52.4,yes,<15 min,no,90.4,88.5,91.3,84.1
195,19,female,private,no formal,1.9,51.1,yes,<15 min,yes,24.7,36.9,36.8,32.5
196,14,other,private,phd,7.5,86.5,yes,30-60 min,no,82.8,100.0,96.6,93.0
197,16,female,private,diploma,5.9,60.4,yes,<15 min,yes,62.6,78.9,78.5,71.9
198,14,female,private,graduate,6.4,80.0,yes,30-60 min,yes,86.3,92.6,94.7,90.7
199,16,female,public,diploma,3.9,86.2,yes,<15 min,yes,71.3,56.8,69.7,60.9
200,19,female,public,graduate,2.0,74.6,yes,15-30 min,no,45.7,43.3,65.7,54.9
201,16,male,public,post graduate,6.5,82.8,yes,>60 min,yes,84.0,93.9,98.9,90.0
202,19,other,private,post graduate,4.1,62.1,yes,15-30 min,no,38.3,44.0,43.1,50.1
203,16,male,public,high school,7.8,90.9,yes,15-30 min,no,100.0,92.8,100.0,100.0
204,18,other,public,graduate,1.7,60.3,yes,>60 min,yes,41.8,40.5,37.8,42.2
205,16,male,public,post graduate,3.2,79.5,yes,<15 min,yes,45.8,63.5,50.2,59.9
206,15,female,private,diploma,6.0,91.8,yes,15-30 min,no,72.1,93.0,76.3,82.7
207,18,female,private,diploma,4.8,89.7,yes,15-30 min,no,84.1,82.3,71.1,80.2
208,19,female,public,graduate,3.7,52.6,yes,15-30 min,yes,68.6,60.5,66.4,57.8
209,15,female,private,graduate,5.8,68.4,yes,>60 min,yes,58.9,61.4,67.7,65.2
210,18,other,public,high school,6.0,92.6,yes,>60 min,yes,89.1,77.9,93.2,82.5
211,15,male,public,phd,4.8,92.5,yes,<15 min,yes,79.9,73.5,86.9,76.2
212,18,other,private,graduate,2.9,81.8,yes,>60 min,yes,84.3,67.5,64.3,65.5
213,18,other,public,graduate,5.1,55.4,no,<15 min,no,52.9,50.8,69.7,62.8
214,16,other,public,high school,4.6,70.2,yes,<15 min,no,79.3,51.6,47.3,61.4
215,18,male,private,post graduate,6.5,98.1,yes,30-60 min,yes,90.9,92.9,74.5,83.2
216,15,male,public,phd,5.4,55.3,yes,15-30 min,yes,58.4,68.2,52.9,67.5
217,14,female,private,post graduate,4.2,90.1,yes,<15 min,no,82.4,48.1,66.6,75.7
218,14,male,public,graduate,0.6,70.9,yes,<15 min,no,35.3,47.9,35.1,43.0
219,16,other,private,graduate,1.8,87.2,no,30-60 min,no,54.4,52.6,46.8,52.1
220,19,other,private,high school,3.0,52.7,yes,15-30 min,no,53.2,49.2,42.7,47.3
221,14,female,private,no formal,5.0,50.5,yes,15-30 min,no,55.3,61.3,54.4,61.5
222,16,other,public,graduate,6.4,65.0,yes,15-30 min,yes,100.0,99.3,71.5,82.4
223,18,male,private,high school,7.7,93.5,yes,<15 min,no,99.0,98.9,100.0,99.1
224,15,other,public,no formal,5.0,84.0,yes,>60 min,no,69.6,45.8,67.5,69.1
225,18,male,private,post graduate,6.0,80.6,yes,15-30 min,yes,85.5,91.5,82.8,77.4
226,15,other,private,diploma,5.2,99.9,yes,>60 min,yes,93.0,95.9,78.3,85.6
227,18,female,private,phd,3.7,67.4,yes,30-60 min,no,72.0,56.3,52.6,63.1
228,17,female,private,phd,5.1,92.5,no,<15 min,no,87.3,74.9,90.4,80.2
229,17,male,private,no formal,3.5,55.5,no,15-30 min,no,76.3,64.3,66.4,54.8
230,15,female,public,post graduate,3.9,58.5,yes,>60 min,yes,47.1,71.6,47.1,44.6
231,16,other,private,diploma,7.3,73.9,yes,<15 min,no,99.2,100.0,96.2,97.2
232,19,other,private,post graduate,4.7,98.0,yes,<15 min,no,83.9,63.3,86.5,70.5
233,14,female,public,no formal,1.3,85.2,yes,30-60 min,yes,39.8,46.2,50.7,39.7
234,18,male,public,diploma,4.4,55.6,yes,15-30 min,no,41.0,45.5,50.3,52.6
235,16,female,private,graduate,7.6,97.7,yes,30-60 min,yes,90.5,87.7,85.7,95.5
236,18,other,private,diploma,1.3,88.3,yes,>60 min,no,34.5,37.6,53.8,39.4
237,17,male,private,graduate,7.8,86.8,no,30-60 min,no,100.0,95.5,63.0,87.6
238,16,other,public,no formal,7.9,77.6,yes,15-30 min,no,92.3,100.0,99.0,100.0
239,15,other,public,no formal,4.7,69.7,yes,>60 min,no,51.8,50.2,59.2,63.7
240,17,other,public,graduate,3.0,55.5,yes,<15 min,yes,47.9,32.7,32.3,39.2
241,14,female,public,diploma,0.6,81.0,yes,>60 min,no,56.6,19.4,28.1,36.1
242,17,male,public,graduate,0.6,56.4,yes,<15 min,yes,14.4,39.3,27.5,28.6
243,14,male,public,diploma,3.4,79.5,no,<15 min,no,85.1,67.8,74.7,64.0
244,17,other,private,no formal,6.4,77.0,yes,15-30 min,no,72.7,86.0,73.9,82.2
245,17,female,public,post graduate,7.6,79.8,no,<15 min,yes,77.5,95.8,100.0,95.8
246,14,male,public,no formal,1.7,91.3,yes,>60 min,yes,29.1,46.6,40.8,44.0
247,18,other,public,post graduate,4.2,70.6,yes,30-60 min,no,69.7,71.9,55.9,69.1
248,16,male,private,no formal,4.3,71.8,yes,<15 min,no,66.0,73.7,62.2,70.3
249,18,other,private,phd,3.4,53.0,yes,30-60 min,no,39.1,31.6,34.5,40.0
250,14,female,public,high school,4.5,64.4,yes,<15 min,no,53.7,68.1,54.1,59.2
251,15,female,private,phd,7.4,54.1,yes,30-60 min,no,74.3,99.7,76.5,87.5
252,16,male,private,no formal,3.8,57.1,yes,>60 min,yes,55.5,51.3,55.0,48.8
253,15,male,public,diploma,1.5,71.3,yes,<15 min,yes,27.0,30.2,38.5,32.5
254,15,other,private,diploma,5.5,70.4,no,15-30 min,yes,74.5,82.2,61.5,63.2
255,17,female,private,no formal,0.7,96.8,yes,30-60 min,no,45.0,45.6,26.8,38.2
256,14,other,public,diploma,7.6,56.0,yes,>60 min,no,74.0,61.4,71.1,77.6
257,18,other,private,high school,7.5,57.5,no,30-60 min,no,82.6,94.5,88.1,87.9
258,14,male,public,diploma,1.2,87.5,yes,15-30 min,yes,13.5,46.3,21.7,34.9
259,15,female,public,diploma,4.6,51.1,yes,<15 min,yes,66.7,56.7,45.3,58.4
260,17,other,public,high school,6.5,82.5,yes,30-60 min,no,95.2,80.5,90.3,93.4
261,18,female,public,post graduate,4.0,87.4,yes,15-30 min,yes,80.5,88.2,60.3,75.8
262,15,female,private,graduate,4.1,81.4,yes,>60 min,no,58.2,70.5,74.0,67.4
263,15,female,private,phd,7.8,64.4,no,30-60 min,no,86.2,98.5,87.4,86.1
264,19,other,public,post graduate,2.2,55.2,yes,>60 min,no,23.7,38.5,49.4,36.2
265,19,other,public,high school,4.4,99.7,yes,30-60 min,no,65.3,58.8,63.1,75.7
266,17,other,private,high school,1.4,93.0,yes,<15 min,no,68.4,62.7,48.3,55.3
267,16,female,private,phd,2.8,86.5,yes,<15 min,no,48.2,58.7,59.4,51.8
268,16,female,private,high school,6.9,59.4,yes,30-60 min,yes,71.0,63.0,80.2,72.6
269,17,female,private,no formal,5.9,71.5,no,<15 min,no,54.6,94.8,53.4,69.4
270,17,male,private,graduate,5.1,85.5,yes,15-30 min,yes,65.1,65.8,90.1,74.9
271,15,other,public,phd,1.4,55.1,yes,30-60 min,no,18.7,23.0,22.3,30.2
272,14,male,private,high school,6.9,97.9,yes,<15 min,no,96.9,100.0,100.0,100.0
273,14,other,private,graduate,2.7,97.8,yes,<15 min,no,52.3,45.4,56.2,58.8
274,19,female,public,diploma,4.5,57.5,yes,<15 min,yes,58.8,61.4,71.0,62.3
275,16,other,private,diploma,2.3,59.9,yes,15-30 min,no,54.4,42.4,28.0,49.2
276,16,other,public,diploma,4.4,68.2,yes,30-60 min,no,83.2,68.8,100.0,69.0
277,16,female,public,no formal,4.7,72.5,yes,15-30 min,no,64.8,50.3,60.1,60.3
278,18,female,private,diploma,3.1,72.0,yes,<15 min,yes,47.6,78.2,71.2,58.1
279,14,female,public,high school,4.3,84.4,yes,30-60 min,no,57.5,61.8,71.5,70.7
280,14,female,public,post graduate,3.5,73.5,yes,>60 min,yes,46.4,64.0,60.3,56.5
281,15,male,private,high school,5.7,59.2,yes,<15 min,no,77.3,61.5,85.9,75.9
282,16,male,private,phd,4.6,63.1,yes,<15 min,no,69.4,57.6,76.9,59.3
283,18,other,private,no formal,7.1,70.6,yes,<15 min,no,85.8,89.6,76.3,76.3
284,16,other,private,diploma,0.9,76.0,yes,15-30 min,yes,48.7,29.6,44.1,28.0
285,16,male,private,high school,0.7,96.2,yes,<15 min,yes,45.7,60.1,47.1,46.8
286,19,male,public,diploma,1.9,54.8,yes,30-60 min,no,31.0,34.5,42.5,36.4
287,14,female,public,post graduate,1.4,90.2,yes,30-60 min,no,52.0,59.2,54.9,52.6
288,17,other,public,phd,4.4,65.5,yes,30-60 min,yes,51.0,71.4,71.4,69.3
289,17,other,public,post graduate,2.0,86.4,no,<15 min,yes,53.0,43.5,51.0,53.1
290,16,other,public,graduate,0.6,62.9,yes,15-30 min,yes,27.4,42.7,27.9,31.0
291,18,male,public,graduate,2.6,69.3,yes,30-60 min,no,30.1,34.0,40.5,42.2
292,15,male,public,phd,4.3,72.2,no,30-60 min,yes,77.4,69.3,74.3,64.6
293,19,female,public,phd,5.9,87.5,no,>60 min,yes,74.9,80.7,94.4,82.4
294,15,male,private,post graduate,3.8,58.3,yes,<15 min,no,50.9,59.1,36.1,55.9
295,17,female,public,no formal,7.7,67.3,yes,>60 min,no,72.7,88.8,84.2,88.3
296,17,female,private,high school,2.0,76.4,yes,15-30 min,no,49.5,68.7,30.6,48.0
